Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,,
GX010036_L.MP4,25191,14.009,KAD_CAT_Transect 1,0.2224,251.929,7.257,6.855,3744.309,16.685,1.91,19.22,-1073.555,56.462,-3586.662,KAD_CAT_1,Peter,Scaridae,Scarus,globiceps,37386018,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,64.719,2.717,5.859,2841.654,4.231,4.56,0.572,113.279,-176.424,-2833.909,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,75.476,6.389,4.388,3090.589,4.231,18.141,15.223,213.25,-80.674,-3082.167,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,3.637,1.592,2452.082,17.453,,,-728.51,99.413,-2339.251,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,5.772,0.481,3116.909,14.622,,,-764.307,185.11,-3016.072,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,4.21,1.572,2616.953,13.401,,,-595.662,112.793,-2545.763,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,3.658,1.145,2426.304,13.649,,,-570.693,-47.615,-2357.752,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,6.482,1.751,3293.043,9.518,,,-544.459,5.624,-3247.717,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,7.787,3.842,3632.825,9.601,,,-599.914,82.831,-3581.991,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,7.633,3.465,3579.603,9.98,,,-569.199,244.58,-3525.585,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
