Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,,
GX010029_L.MP4,43757,24.3338,KAD_SO1_Transect 1,0.3782,,13.211,6.459,4822.227,20.954,,,1624.385,-581.724,-4502.982,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43757,24.3338,KAD_SO1_Transect 1,0.3782,,11.259,16.159,4535.835,24.13,,,1778.246,-527.863,-4139.202,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43757,24.3338,KAD_SO1_Transect 1,0.3782,,8.935,4.807,4178.451,29.14,,,1976.827,-483.804,-3649.32,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43817,24.3671,KAD_SO1_Transect 1,0.4115,76.073,2.976,8.956,2050.015,27.353,3.507,10.794,803.21,-492.038,-1820.801,KAD_SO1,Peter,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,,,
GX010029_L.MP4,43850,24.3855,KAD_SO1_Transect 1,0.4299,,10.722,3.79,4400.59,24.09,,,1694.124,-599.155,-4016.982,KAD_SO1,Peter,Chaetodontidae,Chaetodon,citrinellus,37365036,1,AD,Passing,,,
GX010029_L.MP4,43850,24.3855,KAD_SO1_Transect 1,0.4299,,10.231,3.471,4250.209,23.788,,,1553.134,-728.059,-3888.699,KAD_SO1,Peter,Chaetodontidae,Chaetodon,citrinellus,37365036,1,AD,Passing,,,
GX010029_L.MP4,43922,24.4255,KAD_SO1_Transect 1,0.4699,117.435,8.002,9.15,3359.276,21.455,21.522,10.017,676.581,-1025.699,-3126.487,KAD_SO1,Peter,Labridae,Thalassoma,nigrofasciatum,37384196,1,AD,Passing,,,
GX010029_L.MP4,43959,24.4461,KAD_SO1_Transect 1,0.4905,,13.273,2.627,4774.626,7.423,,,-211.109,-582.393,-4734.269,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43959,24.4461,KAD_SO1_Transect 1,0.4905,,11.366,3.553,4526.135,20.866,,,-1460.461,-685.167,-4228.889,KAD_SO1,Peter,Labridae,Gomphosus,varius,37384106,1,AD,Passing,,,
GX010029_L.MP4,44012,24.4756,KAD_SO1_Transect 1,0.52,,10.008,10.459,4067.472,9.619,,,373.927,-569.854,-4009.96,KAD_SO1,Peter,Labridae,Stethojulis,sp,,1,AD,Passing,,,
GX010029_L.MP4,44158,24.5568,KAD_SO1_Transect 1,0.6012,62.826,2.095,2.088,1735.597,18.737,11.524,15.847,418.991,-367.792,-1643.615,KAD_SO1,Peter,Pomacentridae,Neoglyphidodon,carlsoni,temp_code_008,1,AD,Passing,,,
GX010029_L.MP4,44273,24.6207,KAD_SO1_Transect 1,0.6651,,5.838,2.725,3047.829,12.623,,,498.711,-443.218,-2973.904,KAD_SO1,Peter,Labridae,Stethojulis,sp,,1,AD,Passing,,,
GX010029_L.MP4,44301,24.6363,KAD_SO1_Transect 1,0.6807,65.061,2.557,3.548,2528.389,19.211,2.413,13.25,-331.711,-762.969,-2387.592,KAD_SO1,Peter,Pomacentridae,Neoglyphidodon,carlsoni,temp_code_008,1,AD,Passing,,,
GX010029_L.MP4,44495,24.7442,KAD_SO1_Transect 1,0.7886,,5.35,7.403,3130.657,25.561,,,1345.192,-124.265,-2824.187,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44495,24.7442,KAD_SO1_Transect 1,0.7886,,4.975,2.791,3086.49,29.036,,,1485.174,-197.762,-2698.439,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44495,24.7442,KAD_SO1_Transect 1,0.7886,135.167,8.441,4.949,2574.197,29.012,86.583,8.024,1173.975,-424.746,-2251.191,KAD_SO1,Peter,Labridae,Thalassoma,nigrofasciatum,37384196,1,AD,Passing,,,
GX010029_L.MP4,44569,24.7853,KAD_SO1_Transect 1,0.8297,,3.603,7.438,2531.933,26.11,,,-1008.8,-474.628,-2273.266,KAD_SO1,Peter,Pomacentridae,Stegastes,lacrymatus,temp_code_006,1,AD,Passing,,,
GX010029_L.MP4,44580,24.7914,KAD_SO1_Transect 1,0.8358,44.472,1.906,1.382,1577.503,16.986,18.526,9.736,258.585,-381.474,-1508.684,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44580,24.7914,KAD_SO1_Transect 1,0.8358,42.152,1.883,0.216,1637.098,19.49,4.09,5.021,450.474,-308.909,-1543.289,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44580,24.7914,KAD_SO1_Transect 1,0.8358,,2.594,0.698,1967.886,14.856,,,314.529,-395.628,-1901.874,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44588,24.7959,KAD_SO1_Transect 1,0.8403,,2.973,12.325,2301.147,26.956,,,-976.797,-367.182,-2050.933,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44588,24.7959,KAD_SO1_Transect 1,0.8403,,3.602,5.651,2541.823,25.561,,,-1035.307,-363.214,-2292.832,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44607,24.8064,KAD_SO1_Transect 1,0.8508,,3.535,0.919,2465.913,23.555,,,-892.134,-419.915,-2260.198,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44607,24.8064,KAD_SO1_Transect 1,0.8508,,3.027,6.327,2288.105,24.61,,,-891.469,-337.673,-2080.069,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44607,24.8064,KAD_SO1_Transect 1,0.8508,,2.795,11.397,2192.917,26.21,,,-857.915,-450.604,-1967.186,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44607,24.8064,KAD_SO1_Transect 1,0.8508,,3.055,8.629,2283.086,25.852,,,-828.117,-553.736,-2054.283,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44631,24.8198,KAD_SO1_Transect 1,0.8642,44.798,3.408,7.491,1831.66,21.182,37.108,17.502,-334.574,-571.048,-1707.905,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44631,24.8198,KAD_SO1_Transect 1,0.8642,28.83,2.345,8.779,1917.293,22.688,7.45,10.62,-538.403,-506.982,-1768.928,KAD_SO1,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,,
GX010029_L.MP4,44646,24.8281,KAD_SO1_Transect 1,0.8725,,15.836,7.968,5543.381,26.132,,,2406.637,-413.987,-4976.524,KAD_SO1,Peter,Scaridae,Scarus,sp,,1,AD,Passing,,,
GX010029_L.MP4,44675,24.8443,KAD_SO1_Transect 1,0.8887,,22.363,8.809,6326.556,16.985,,,1840.498,-171.156,-6050.503,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,44690,24.8526,KAD_SO1_Transect 1,0.897,,7.897,1.935,3781.214,22.936,,,-1330.579,-635.24,-3481.897,KAD_SO1,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,,
