"term","estimate","std.error","statistic","p.value","Response","Predictor","p_adj_BH","sig"
"transi15BRIF",-2.43698486667235e-12,2.36736681361464e-12,-1.02940737897369,0.305308296262782,"FRic","transi15BRIF",0.518696034231676,""
"transi15BRin",1.23214191092454e-12,2.37494556902422e-12,0.518808484284877,0.604826463381367,"FRic","transi15BRin",0.749479570425395,""
"transi15BRout",-3.80452227462599e-12,2.35266473727021e-12,-1.61711195579884,0.108415939261439,"FRic","transi15BRout",0.27878384381513,""
"pare15BRout",5.04287319379245e-13,2.37710786573204e-12,0.212143221032987,0.832346448664987,"FRic","pare15BRout",0.88130800446881,""
"resid15BRout",-1.62454254644517e-12,2.37302611045401e-12,-0.68458688224647,0.494892584579163,"FRic","resid15BRout",0.68523588634038,""
"resid15BRIF",-4.33390570264237e-12,2.34520876238238e-12,-1.84798290547054,0.0670069878404862,"FRic","resid15BRIF",0.218045301532967,""
"pare15LR",-2.37913618337266e-12,2.36784516422837e-12,-1.00476847866358,0.316980909808246,"FRic","pare15LR",0.518696034231676,""
"pare15BRin",-3.33871792768398e-12,2.35840687986932e-12,-1.41566663334572,0.159400270659642,"FRic","pare15BRin",0.358650608984194,""
"pare15BRIF",-4.24797605033823e-12,2.34648664410978e-12,-1.81035594683721,0.0726817671776557,"FRic","pare15BRIF",0.218045301532967,""
"sst_sd_6_year_mean",-5.25865854979043e-12,2.32978200943376e-12,-2.25714617440475,0.0257632313396542,"FRic","sst_sd_6_year_mean",0.218045301532967,""
"sst_q90_6_year_mean",4.9181528049201e-12,2.33582042957305e-12,2.10553548665514,0.0372785862747614,"FRic","sst_q90_6_year_mean",0.218045301532967,""
"sst_mean_6_year_mean",5.05902127175158e-12,2.33337320208815e-12,2.16811492787533,0.0320753101872313,"FRic","sst_mean_6_year_mean",0.218045301532967,""
"sedimnt",-0.00310490625088913,0.00511249797244967,-0.607316866944673,0.544760186112372,"FEve","sedimnt",0.612855209376419,""
"crypto5BROF",0.0076075103921467,0.00507400148149746,1.49931181925898,0.136355069469445,"FEve","crypto5BROF",0.230439820449988,""
"crypto5BRIF",-0.000580627574648435,0.00511988986415898,-0.113406262645029,0.909893367326952,"FEve","crypto5BRIF",0.909893367326952,""
"crypto5LR",0.00531882914279901,0.00509764784601816,1.04338889296828,0.29881457074262,"FEve","crypto5LR",0.384190162383369,""
"crypto5BRin",-0.0108735819537706,0.00502541089779205,-2.16371997731529,0.0324189866513636,"FEve","crypto5BRin",0.0972569599540909,"."
"crypto5BRout",0.00729016939861706,0.00507778762537725,1.43569797251523,0.153626546966659,"FEve","crypto5BRout",0.230439820449988,""
"transi15BRIF",-0.0120858893780316,0.00500284544198821,-2.41580307010814,0.0171707491846831,"FEve","transi15BRIF",0.0883863944130729,"."
"transi15BRin",-0.0181148815140647,0.0048526421261145,-3.7329934998873,0.000287864690290764,"FEve","transi15BRin",0.00518156442523375,"**"
"transi15BRout",0.0128182507419426,0.00498800354305055,2.56981588551624,0.0113684958095639,"FEve","transi15BRout",0.0883863944130729,"."
"pare15BRout",0.00748689453510733,0.00507545986686403,1.47511648825888,0.142736401880865,"FEve","pare15BRout",0.230439820449988,""
"resid15BRout",0.011792255223158,0.00500853931640579,2.3544300000864,0.0201350998709252,"FEve","resid15BRout",0.0883863944130729,"."
"resid15BRIF",-0.00382609943353758,0.00510852195280571,-0.748964077845687,0.455308764999589,"FEve","resid15BRIF",0.546370517999507,""
"pare15LR",0.0114174274342892,0.00501559516069036,2.27638536773723,0.0245517762258536,"FEve","pare15LR",0.0883863944130729,"."
"pare15BRin",-0.0085003670593884,0.00506246619696322,-1.67909606280185,0.0956719481130127,"FEve","pare15BRin",0.191343896226025,""
"pare15BRIF",0.00113970663989711,0.00511912616427805,0.222636950784712,0.82418735653244,"FEve","pare15BRIF",0.872668965740231,""
"sst_sd_6_year_mean",0.0057062901436189,0.00509424022305599,1.12014547680591,0.264834220351228,"FEve","sst_sd_6_year_mean",0.366693535870931,""
"sst_q90_6_year_mean",-0.00954185080580603,0.00504735517538495,-1.89046549613547,0.0610485909369949,"FEve","sst_q90_6_year_mean",0.156982090980844,""
"sst_mean_6_year_mean",-0.00868048125455133,0.00505998076474327,-1.71551665078153,0.0887684906452504,"FEve","sst_mean_6_year_mean",0.191343896226025,""
