"analysis","response","predictor","pred_type","n","r2","p_value","p_adj"
"functionalDiv_traitbased","feve","Rnetflow","numeric",94,0.00105799407175291,0.755631781865419,0.766644963481527
"functionalDiv_traitbased","feve","Cnetflow","numeric",94,0.00220488905307845,0.65313274020934,0.766644963481527
"functionalDiv_traitbased","feve","transi15BRIF","numeric",94,0.000962038166277425,0.766644963481527,0.766644963481527
"functionalDiv_traitbased","feve","sst_sd_6_year_mean","numeric",94,0.0112540768994552,0.308845347409684,0.472035527714905
"functionalDiv_traitbased","feve","sst_q90_6_year_mean","numeric",94,0.0109869266040524,0.314690351809936,0.472035527714905
"functionalDiv_traitbased","feve","sst_mean_6_year_mean","numeric",94,0.0112380095481619,0.309192914682636,0.472035527714905
"functionalDiv_traitbased","fdis","nutrint","numeric",94,0.019967926130777,0.174296286650086,0.392166644962693
"functionalDiv_traitbased","fdis","crypto5LR","numeric",94,0.00869909409830692,0.37125351383956,0.417660203069505
"functionalDiv_traitbased","fdis","pare5BRin","numeric",94,0.0143102081843338,0.250794677462435,0.417660203069505
"functionalDiv_traitbased","fdis","Rnetflow","numeric",94,0.00898969008714741,0.363346946620719,0.417660203069505
"functionalDiv_traitbased","fdis","Cnetflow","numeric",94,0.000918568778866107,0.77183080019865,0.77183080019865
"functionalDiv_traitbased","fdis","transi15BRIF","numeric",94,0.0102455245188686,0.331682051678085,0.417660203069505
"functionalDiv_traitbased","fdis","sst_sd_6_year_mean","numeric",94,0.0360979021259192,0.0666297919081151,0.199889375724345
"functionalDiv_traitbased","fdis","sst_q90_6_year_mean","numeric",94,0.0452116636949254,0.0396346857203637,0.199598275813301
"functionalDiv_traitbased","fdis","sst_mean_6_year_mean","numeric",94,0.0432222334197359,0.0443551724029558,0.199598275813301
