"Response","term","estimate","std.error","statistic","p.value"
"FEve","resid15BRbtw",0.00161394169481552,0.00665764729923221,0.242419224431077,0.808898699853597
"FEve","pare15BRbtw",0.00323245571994363,0.00764406406280847,0.422871353953045,0.673199936645399
"FDiv","(Intercept)",0.914622292097743,0.00426406439217069,214.495422202604,2.85192437244113e-148
"FDiv","Geomorphology1",-0.0227555714362361,0.0099099294592575,-2.29623949693998,0.0235224656003046
"FDiv","Geomorphology2",-0.00899277069406194,0.0139027944670141,-0.646831880842249,0.519064178135024
"FDiv","Geomorphology3",-0.00864704642541136,0.0194759595520581,-0.443985643033317,0.657909584622786
"FDiv","Geomorphology4",0.0218894800441127,0.0118075635377638,1.85385240351273,0.0663915899954952
"FDiv","Geomorphology5",-0.00182773605605314,0.00842173934970157,-0.217025958671816,0.828582960463813
"FDiv","nutrint",-0.00406473112647137,0.00536403326835431,-0.757775152225787,0.450177049378256
"FDiv","NO_TK_AREA",0.0113432977262247,0.00568893663933557,1.99392231718537,0.0485906987495558
"FDiv","transi15LR",0.00539686670191189,0.00752804180319702,0.716901797705207,0.474927068167621
"FDiv","transi15BRbtw",-0.00525048924718053,0.00573418652025136,-0.915646749305667,0.36181946369285
"FDiv","resid15LR",-0.00330612358476166,0.0054959162119354,-0.601560041541718,0.548682747272729
"FDiv","resid15BRbtw",-0.0137482877513753,0.00510584296806384,-2.69265777215798,0.00817716410595881
"FDiv","pare15BRbtw",-0.00414829670010592,0.00586233980088148,-0.707617920660648,0.480652454676875
"FDis","(Intercept)",0.164761649973281,0.00428866262339345,38.4179555357311,2.52038361516515e-66
"FDis","Geomorphology1",0.0249895364937186,0.00996709715510364,2.5072030607149,0.0136035365036286
"FDis","Geomorphology2",-0.0272761840718011,0.0139829959183735,-1.95066809938494,0.0535947971083617
"FDis","Geomorphology3",0.0315679629185631,0.019588311081558,1.6115714513174,0.109869814465573
"FDis","Geomorphology4",-0.019788181832537,0.0118756781700411,-1.66627804738401,0.0984524687085206
"FDis","Geomorphology5",0.00349040253478337,0.0084703220803475,0.412074358173659,0.6810725410279
"FDis","nutrint",0.00629138835117209,0.00539497692175312,1.16615667544463,0.24602835947359
"FDis","NO_TK_AREA",0.00587158108775813,0.00572175457217985,1.02618541457663,0.307015417426301
"FDis","transi15LR",-0.00953632101140736,0.0075714690350347,-1.25950736472419,0.210465559018963
"FDis","transi15BRbtw",0.0129002007236004,0.00576726548738856,2.23679675433871,0.0272799635779112
"FDis","resid15LR",0.00306090576878429,0.00552762066227398,0.553747435976383,0.580855549619907
"FDis","resid15BRbtw",0.00760593717361204,0.00513529719163187,1.48110944503974,0.141385260449905
"FDis","pare15BRbtw",0.013797175842538,0.00589615804954424,2.34002815504657,0.021053393247003
"RaoQ","(Intercept)",0.035784300831468,0.00129892871459758,27.5490875129004,1.05248973388016e-51
"RaoQ","Geomorphology1",0.00545259788410702,0.00301878460322996,1.80622290118778,0.0735690268476141
"RaoQ","Geomorphology2",-0.00585536099599684,0.00423509996225922,-1.38257917125368,0.169544574224377
"RaoQ","Geomorphology3",0.00856472836348293,0.00593280982176512,1.4436209183821,0.15163698056115
"RaoQ","Geomorphology4",-0.00464929000721402,0.0035968460881589,-1.29260187766161,0.198809100676935
"RaoQ","Geomorphology5",0.00193154090241567,0.00256544884459752,0.752905639293191,0.453086266560312
"RaoQ","nutrint",0.00060570238139289,0.00163400366352704,0.370686060816697,0.711571538479768
