"Response","ModelType","term","estimate","std.error","statistic","p.value","Adj_R2","Marginal_R2","Conditional_R2","LM_AIC","LMM_AIC","Delta_AIC","LM_BIC","LMM_BIC","Delta_BIC","Preferred"
"fspe","LM","resid15LR",0.00225427417359258,0.0182374929736282,0.123606582157553,0.90191521256473,0.0342701454039476,NA,NA,-157.228714180249,-155.228714180249,2,-134.339061139819,-129.795766357549,4.54329478227001,"Tie"
"fspe","LM","resid15BRIF",-0.0218538703539574,0.0123128251212351,-1.77488676552935,0.0794549328613363,0.0342701454039476,NA,NA,-157.228714180249,-155.228714180249,2,-134.339061139819,-129.795766357549,4.54329478227001,"Tie"
"fspe","LM","transi15LR",-0.0222744649908049,0.0137708266688938,-1.61751109983249,0.109430254984096,0.0342701454039476,NA,NA,-157.228714180249,-155.228714180249,2,-134.339061139819,-129.795766357549,4.54329478227001,"Tie"
"fori","LM","(Intercept)",0.065345780829787,0.00616517631341096,10.5991747044836,2.80360920590194e-17,0.123783650038998,NA,NA,-253.232556121786,NA,NA,-230.342903081356,NA,NA,"LM"
"fori","LM","sedimnt",-0.022670489002613,0.0102069785346355,-2.22107736640033,0.0289732012735002,0.123783650038998,NA,NA,-253.232556121786,NA,NA,-230.342903081356,NA,NA,"LM"
"fori","LM","NO_TK_AREA",-0.010347803343148,0.00708882586388883,-1.45973445276187,0.148006404024167,0.123783650038998,NA,NA,-253.232556121786,NA,NA,-230.342903081356,NA,NA,"LM"
"fori","LM","grav_NC",-0.0256832640280435,0.0125160090121733,-2.05203304048947,0.0432075956037618,0.123783650038998,NA,NA,-253.232556121786,NA,NA,-230.342903081356,NA,NA,"LM"
"fori","LM","Median_Depth",-0.00874367789932222,0.00653389358633688,-1.33820329085344,0.184357666529244,0.123783650038998,NA,NA,-253.232556121786,NA,NA,-230.342903081356,NA,NA,"LM"
"fori","LM","resid15LR",0.000454498588644929,0.0109443221300701,0.0415282539423952,0.966971031482361,0.123783650038998,NA,NA,-253.232556121786,NA,NA,-230.342903081356,NA,NA,"LM"
"fori","LM","resid15BRIF",-0.00827926118384833,0.00738892810831378,-1.12049556613398,0.26562197114656,0.123783650038998,NA,NA,-253.232556121786,NA,NA,-230.342903081356,NA,NA,"LM"
