"nobs","sigma","logLik","AIC","BIC","REMLcrit","df.residual"
94,0.0915660135911966,83.567301495491,-159.134602990982,-148.961423861902,-167.134602990982,90
94,0.0915668204158264,83.5734868503475,-159.146973700695,-148.973794571615,-167.146973700695,90
94,0.117635468684609,60.4205340104657,-112.841068020931,-102.667888891851,-120.841068020931,90
94,0.118537331949697,59.6405400157561,-111.281080031512,-101.107900902432,-119.281080031512,90
94,0.118353267866638,59.9475523113061,-111.895104622612,-101.721925493532,-119.895104622612,90
94,0.118113126354889,60.0024151483431,-112.004830296686,-101.831651167606,-120.004830296686,90
94,0.117535547841227,59.9665261365222,-111.933052273044,-101.759873143964,-119.933052273044,90
94,0.117350543213611,60.3730758369576,-112.746151673915,-102.572972544835,-120.746151673915,90
94,0.117930401097677,60.6422910361234,-113.284582072247,-103.111402943167,-121.284582072247,90
94,0.118027521853094,60.853156778916,-113.706313557832,-103.533134428752,-121.706313557832,90
94,0.117997242244657,60.8035455347292,-113.607091069458,-103.433911940378,-121.607091069458,90
