"","Filename","Frame","Time..mins.","Period","Period.time..mins.","Length..mm.","Precision..mm.","RMS..mm.","Range..mm.","Direction..deg.","Horz..Dir...deg.","Vert..Dir...deg.","Mid.X..mm.","Mid.Y..mm.","Mid.Z..mm.","OpCode","TapeReader","Family","Genus","Species","Code","Number","Stage","Activity","Comment","Species_full","Length_filled","length_source","Length_cm","a_final","b_final","param_source","biomass"
"45","GX010039_L.MP4",12026,6.6878,"KAD_BIRD_Transect 1",1.6072,NA,4.213,12.966,2786.159,28.524,NA,NA,-1170.876,-633.204,-2447.607,"KAD_BIRD_1","Peter","Pomacentridae","Stegastes","nigricans","37372135",1,"AD","Passing","","Stegastes nigricans",53.476,"site",5.3476,0.038408298,3.009999217,"fishbase",5.97286674058912
"46","GX010039_L.MP4",12188,6.7779,"KAD_BIRD_Transect 1",1.6973,NA,2.913,9.798,2240.325,28.437,NA,NA,967.699,-450.24,-1969.746,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",45.9495,"transect",4.59495,0.04150671,2.988875406,"fishbase",3.95906904419697
"47","GX010039_L.MP4",12188,6.7779,"KAD_BIRD_Transect 1",1.6973,NA,3.703,4.595,2541.966,27.472,NA,NA,1070.589,-479.798,-2255.045,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",45.9495,"transect",4.59495,0.04150671,2.988875406,"fishbase",3.95906904419697
"48","GX010039_L.MP4",12200,6.7846,"KAD_BIRD_Transect 1",1.7039,NA,3.092,0.552,2263.011,24.713,NA,NA,866.646,-380.749,-2055.522,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",45.9495,"transect",4.59495,0.04150671,2.988875406,"fishbase",3.95906904419697
"49","GX010039_L.MP4",12200,6.7846,"KAD_BIRD_Transect 1",1.7039,NA,8.65,4.711,3895.864,22.4,NA,NA,1396.631,-505.552,-3601.61,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","reticulatus","37372074",1,"AD","Passing","","Dascyllus reticulatus",46.13,"site",4.613,0.031105228,3.132714309,"fishbase",3.74027778863607
"50","GX010039_L.MP4",12200,6.7846,"KAD_BIRD_Transect 1",1.7039,NA,2.207,10.318,1919.125,29.511,NA,NA,814.009,-481.656,-1669.862,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",45.9495,"transect",4.59495,0.04150671,2.988875406,"fishbase",3.95906904419697
"51","GX010039_L.MP4",12268,6.8224,"KAD_BIRD_Transect 1",1.7417,NA,5.856,6.396,3233.895,28.341,NA,NA,1323.008,-780.457,-2845.806,"KAD_BIRD_1","Peter","Labridae","Cheilinus","chlorourus","37384064",1,"AD","Passing","","Cheilinus chlorourus",218.691,"location",21.8691,0.019448186,2.977717223,"fishbase",189.896376307849
"52","GX010039_L.MP4",12269,6.8229,"KAD_BIRD_Transect 1",1.7423,48.023,3.284,1.646,2109.084,18.244,21.811,5.871,211.063,-625.646,-2003.061,"KAD_BIRD_1","Peter","Pomacanthidae","Centropyge","bicolor","37365022",1,"AD","Passing","","Centropyge bicolor",48.023,"measured",4.8023,0.761718227,2.014831567,"fishbase",17.980422089827
"53","GX010039_L.MP4",12298,6.8391,"KAD_BIRD_Transect 1",1.7584,58.993,1.857,1.844,1714.865,19.798,9.903,18.619,342.064,-469.432,-1613.501,"KAD_BIRD_1","Peter","Pomacentridae","Pomacentrus","maafu","temp_code_005",1,"AD","Passing","","Pomacentrus maafu",58.993,"measured",5.8993,0.0262952381868487,3.00621166069386,"genus",5.45841443149316
"54","GX010039_L.MP4",12298,6.8391,"KAD_BIRD_Transect 1",1.7584,51.544,2.04,3.678,1664.998,18.194,20.643,15.4,137.769,-501.274,-1581.759,"KAD_BIRD_1","Peter","Pomacentridae","Pomacentrus","maafu","temp_code_005",1,"AD","Passing","","Pomacentrus maafu",51.544,"measured",5.1544,0.0262952381868487,3.00621166069386,"genus",3.63777030014611
